group	name	roman_name	city	county	grid	long	lat
0	moridunum	MVRIDVNO	Carmarthen	Dyfed	SN4120	-4.30902147293091	51.8554649353027
0	segontium	SEGONTIO	Caernarfon	Gwynedd	SH4862	-4.27231121063232	53.1331634521484
0	leucarum	LEVCARO	Loughor	West Glamorgan	SS5698	-4.08223104476929	51.6618423461914
0	nidum	NIDO	Neath	West Glamorgan	SS7497	-3.82174921035767	51.6571807861328
0	canovium	CONOVIO	Caerhun	Gwynedd	SH7770	-3.84213304519653	53.2125244140625
0	bomium	BOMIO	nr. Bridgend	Mid Glamorgan?	SS8978	-3.598961353302	51.489559173584
0	isca_dumnoniorum	ISCA DVMNONIORVM	Exeter	Devon	SX9292	-3.53002572059631	50.7170104980469
0	st_asaph	VARIS	St. Asaph	Clwyd?	SJ0474	-3.43911933898926	53.2540397644043
0	glannoventa	CLANOVENTA	Ravenglass	Cumbria	SD0895	-3.41532778739929	54.3420944213867
0	honiton	MVRIDVNVM	Honiton	Devon?	ST1801	-3.16378378868103	50.8021850585938
0	blatobulgium	BLATOBVLGIVM	Birrens	Dumfries and Galloway	NY2175	-3.23707509040833	55.063117980957
0	gobannium	GOBANNIO	Abergavenny	Gwent	SO2914	-3.03020167350769	51.8196640014648
0	isca_silurum	ISCAE	Caerleon	Gwent	ST3390	-2.96755528450012	51.6043853759766
0	galava	GALAVA	Ambleside	Cumbria	NY3703	-2.97097754478455	54.418399810791
0	burrium	BVRRIO	Usk	Gwent	SO3700	-2.91160368919373	51.694751739502
0	castra_exploratorum	CASTRA EXPLORATORVM	Netherby	Cumbria	NY3971	-2.95441055297852	55.0297164916992
0	luguvalium	LVGVVALIVM	Carlisle	Cumbria	NY3956	-2.9512197971344	54.8949279785156
0	deva	DEVA	Chester	Cheshire	SJ4066	-2.89803624153137	53.1874198913574
0	bravonium	BRAVONIO	Leintwardine	Hereford and Worcester	SO4074	-2.8811821937561	52.3603897094727
0	magnis	MAGNIS	Kenchester	Hereford and Worcester	SO4442	-2.81714224815369	52.0731201171875
0	bovium	BOVIVM	Tilston	Cheshire?	SJ4551	-2.82063770294189	53.0531196594238
0	venta_silurum	VENTA SILVRVM	Caerwent	Gwent	ST4690	-2.77984380722046	51.6057739257812
0	voreda	VOREDA	Old Penrith	Cumbria	NY4938	-2.79212427139282	54.7342796325684
0	alavana	ALONE	Watercrook	Cumbria?	SD5190	-2.75309276580811	54.3031005859375
0	blestium	BLESTIO	Monmouth	Gwent?	SO5112	-2.71072816848755	51.8040428161621
0	brocavum	BROCAVO	Brougham	Cumbria	NY5328	-2.72839069366455	54.6448059082031
0	mediolanum	MEDIOLANVM	Whitchurch	Shropshire	SJ5441	-2.68494462966919	52.9640808105469
0	rutunium	RVTVNIVM	Harcourt Park	Shropshire?	SJ5525	-2.6678364276886	52.8203277587891
0	abona	ABONE	Sea Mills	Avon	ST5575	-2.6479549407959	51.4716873168945
0	viroconium	VRIOCONIVM	Wroxeter	Shropshire	SJ5608	-2.65071868896484	52.6675796508789
0	coccium	COCCIO	Wigan	Lancashire?	SD5806	-2.63397192955017	53.5487098693848
0	calacum	CALACVM	Burrow in Lonsdale	Lancashire?	SD6175	-2.59745311737061	54.1691436767578
0	bravoniacum	BROVONACIS	Kirby Thore	Cumbria	NY6326	-2.57318043708801	54.6276626586914
0	bremetenacum	BREMETONACI	Ribchester	Lancashire	SD6435	-2.54676556587219	53.8098297119141
0	ariconium	ARICONIO	Weston under Penyard	Hereford and Worcester	SO6423	-2.52332901954651	51.9039421081543
0	condate	CONDATE	Northwich	Cheshire	SJ6573	-2.52465319633484	53.2525787353516
0	trajectus	TRAIECTVS	Bitton, nr Willsbridge	Avon	ST6769	-2.47461533546448	51.4185600280762
0	durnovaria	DVRONOVARIA	Dorchester	Dorset	SY6990	-2.4390857219696	50.7082328796387
0	uxacona	VXACONA	Redhill	Shropshire	SJ7211	-2.41435265541077	52.695613861084
0	aquae_sulis	AQVIS SOLIS	Bath	Avon	ST7564	-2.35921144485474	51.3740043640137
0	verteris	VERTERIS	Brough Castle	Cumbria	NY7914	-2.32446932792664	54.5207290649414
0	bremenium	BREMENIVM	High Rochester	Northumberland	NY8398	-2.2676215171814	55.2758140563965
0	mamucium	MAMVCIVM	Manchester	Greater Manchester	SJ8397	-2.25611662864685	53.4692115783691
0	glevum	CLEVO	Gloucester	Gloucestershire	SO8318	-2.24688506126404	51.8598823547363
0	pennocrucium	PENNOCRVCIVM	Water Eaton	Staffordshire	SJ9010	-2.14796185493469	52.687255859375
0	vindocladia	VINDOGLADIA	Badbury	Dorset	ST9502	-2.07097744941711	50.8169670104981
0	verlucio	VERLVCIONE	Sandy Lane	Wiltshire	ST9767	-2.04312539100647	51.4015350341797
0	corstopitum	CORSTOPITVM	Corbridge	Northumberland	NY9864	-2.03124737739563	54.9705390930176
0	lavatris	LEVATRIS	Bowes	Durham	NY9913	-2.01544809341431	54.5121726989746
0	corinium	CORINIVM	Cirencester	Gloucestershire!	SP0201	-1.97105383872986	51.707275390625
0	cambodunum	CAMBODVNVM	Slack	South Yorkshire?	SE0817	-1.87895548343658	53.6492118835449
0	letocetum	EOCETVM	Wall	Staffordshire	SK0906	-1.86695516109467	52.651309967041
0	vindomora	VINDOMORA	Ebchester	Durham	NZ1055	-1.84409153461456	54.8895645141602
0	sorviodunum	SORBIODONI	Old Sarum	Wiltshire	SU1332	-1.81437170505524	51.0866432189941
0	durocornovium	DVROCORNOVIO	Wanborough	Wiltshire?	SU1985	-1.72587418556213	51.5630874633789
0	vinovium	VINOVIVM	Binchester	Durham	NZ2031	-1.68982243537903	54.6735649108887
0	cunetio	CVNETIONE	Mildenhall	Wiltshire	SU2169	-1.697962641716	51.419132232666
0	cataractonium	CATARACTONIVM	Catterick	North Yorkshire	SE2299	-1.66120481491089	54.385871887207
0	manduessedum	MANDVESEDVM	Mancetter	Warwickshire	SP3296	-1.52790117263794	52.5605316162109
0	briga	BRIGE	Buckholt Farm, nr Horsebridge	Hampshire	SU3430	-1.51470577716827	51.067798614502
0	isurium	ISVRIVM BRIGANTVM	Aldborough	North Yorkshire	SE4066	-1.38841497898102	54.0881767272949
0	lagentium	LEGIOLIO	Castleford	South Yorkshire?	SE4225	-1.36346840858459	53.7194938659668
0	clausentum	CLAVSENTVM	Bitterne	Hampshire?	SU4313	-1.38826763629913	50.9143142700195
0	spinae	SPINAE	Speen, nr Newbury	Berkshire	SU4568	-1.35292363166809	51.408748626709
0	venonis	VENONIS	High Cross	Leicestershire	SP4788	-1.30776250362396	52.4875221252441
0	calcaria	CALCARIA	Tadcaster	North Yorkshire	SE4842	-1.26988983154297	53.8717803955078
0	venta_belgarum	VENTA BELGARVM	Winchester	Hampshire	SU4829	-1.31502020359039	51.057804107666
0	tripontium	TRIPONTIO	Cave's Inn	Warwickshire	SP5379	-1.22081792354584	52.406063079834
0	danum	DANO	Doncaster	South Yorkshire	SE5703	-1.14018416404724	53.5203361511231
0	ratae	RATIS	Leicester	Leicestershire	SK5804	-1.14296388626099	52.6303024291992
0	eburacum	EBVRACVM	York	North Yorkshire	SE6052	-1.0854218006134	53.9604110717773
0	bannaventa	BANNAVENTA	Whilton Lodge	Northhamptonshire	SP6164	-1.10595083236694	52.2703819274902
0	vernemetum	VERNEMETO	Willoughby	Nottinghamshire	SK6425	-1.05022513866425	52.8184051513672
0	calleva	CALLEVA ATREBATVM	Silchester	Hampshire	SU6462	-1.08083617687225	51.352970123291
0	lactodurum	LACTODORVM	Towcester	Northamptonshire	SP6948	-0.991984009742737	52.1255874633789
0	margidunum	MARGIDVNO	Castle Hill	Nottinghamshire	SK7041	-0.957750856876373	52.961483001709
0	neatham	VINDOMI	Neatham	Hampshire?	SU7441	-0.941592872142792	51.1629371643066
0	ad_pontem	AD PONTEM	East Stoke	Nottinghamshire	SK7550	-0.881226420402527	53.0417098999024
0	derventio_brigantum	DERVENTIO	Malton	North Yorkshire?	SE7971	-0.790923476219177	54.128604888916
0	segelocum	SEGELOCI	Littleborough	Nottinghamshire	SK8282	-0.768622279167175	53.3282852172852
0	delgovicia	DELGOVICIA	nr. Millington	Humberside?	SE8352	-0.734930455684662	53.9572296142578
0	crococalana	CROCOCALANA	Brough	Nottinghamshire	SK8358	-0.759860754013062	53.1124267578125
0	noviomagus_regnorum	REGNO	Chichester	Sussex	SU8604	-0.778755664825439	50.8285827636719
0	magiovinium	MAGIOVINTVM	Dropshort	Buckinghamshire	SP8833	-0.718339443206787	51.9880447387695
0	lindum	LINDO	Lincoln	Lincolnshire	SK9771	-0.546802282333374	53.2268943786621
0	causennae	CAVSENNIS	Ancaster	Lincolnshire?	SK9843	-0.540368258953095	52.9750747680664
0	durocobrivis	DVROCOBRIVIS	Dunstable	Bedfordshire	TL0121	-0.532585859298706	51.8779716491699
0	pontes	PONTIBVS	Staines	Surrey	TQ0371	-0.518274664878845	51.4281425476074
0	durobrivae_catuvellorum	DVROBRIVAS	Water Newton	Cambridgeshire	TL1296	-0.348009437322617	52.5499496459961
0	verulamium	VEROLAMIVM	St. Alban's	Hertfordshire	TL1307	-0.362875610589981	51.7498321533203
0	sulloniacis	SVLLONIACIS	Brockley Hill	Greater London	TQ1794	-0.309321522712708	51.6321640014648
0	praesidium	PRAETORIO	Bridlington	Humberside?	TA1867	-0.195888713002205	54.0851936340332
0	londinium	LONDINIVM	London	Greater London	TQ3281	-0.097575895488262	51.5120048522949
0	duroliponte	DVROLIPONTE	Cambridge	Cambridgeshire	TL4459	0.107771031558514	52.2099800109863
0	noviomagus_cantiacorum	NOVIOMAGVS	Crayford	Greater London	TQ5174? 	0.173066630959511	51.4443511962891
0	durolitum	DVROLITO	Nr. Romford	Greater London?	TQ5592	0.238512769341469	51.6050071716309
0	vagniacis	VAGNIACIS	Springhead	Kent?	TQ6172	0.315954059362411	51.4236183166504
0	caesaromagus	CAESAROMAGO	Chelmsford	Essex	TL7006	0.461747974157333	51.726448059082
0	durobrivae_cantiacorum	DVROBRIVAE	Rochester	Kent	TQ7468	0.500807344913483	51.3838386535645
0	camboritum	CAMBORICO	Lackford	Suffolk?	TL7971	0.625920712947845	52.3075103759766
0	canonium	CANONIO	Kelvedon	Essex	TL8618	0.69961154460907	51.8291549682617
0	camulodunum	CAMOLODVO	Colchester	Essex	TL9925	0.892068684101105	51.8875389099121
0	durolevum	DVROLEVVM	Ospringe	Kent?	TQ9961	0.855750381946564	51.3127593994141
0	ad_ansam	AD ANSAM	nr. Stratford St. Mary	Suffolk?	TM0535	0.985101222991943	51.9751663208008
0	combretovium	COMBRETONIO	Baylham House	Suffolk	TM1152	1.08282995223999	52.1255569458008
0	portus_lemanis	PORTVS LEMANIS	Lympne	Kent	TR1134	1.01185655593872	51.0659561157227
0	scole	Scole</A>VILLA FAVSTINI	Scole	Norfolk?	TM1478	1.14305830001831	52.3578338623047
0	durovernum	DVROVERNVM	Canterbury	Kent	TR1457	1.06829857826233	51.2713928222656
0	venta_icenorum	VENTA INECORVM	Caistor St. Edmund	Norfolk	TG2303	1.29173159599304	52.5786514282227
0	rutupiae	RITVPIS	Richborough	Kent	TR3260	1.32787144184113	51.2912826538086
0	portus_dubris	PORTVS DVBRIS	Dover	Kent	TR3241	1.31558632850647	51.1207046508789
0	saxmundham	SITOMAGO	nr. Saxmundham	Suffolk?	TM4464	1.57266283035278	52.219669342041
1	bremenium	BREMENIVM	High Rochester	Northumberland	NY8398	-2.2676215171814	55.2758140563965
1	corstopitum	CORSTOPITVM	Corbridge	Northumberland	NY9864	-2.03124737739563	54.9705390930176
1	vindomora	VINDOMORA	Ebchester	Durham	NZ1055	-1.84409153461456	54.8895645141602
1	vinovium	VINOVIVM	Binchester	Durham	NZ2031	-1.68982243537903	54.6735649108887
1	cataractonium	CATARACTONIVM	Catterick	North Yorkshire	SE2299	-1.66120481491089	54.385871887207
1	isurium	ISVRIVM BRIGANTVM	Aldborough	North Yorkshire	SE4066	-1.38841497898102	54.0881767272949
1	eburacum	EBVRACVM	York	North Yorkshire	SE6052	-1.0854218006134	53.9604110717773
1	derventio_brigantum	DERVENTIO	Malton	North Yorkshire?	SE7971	-0.790923476219177	54.128604888916
1	delgovicia	DELGOVICIA	nr. Millington	Humberside?	SE8352	-0.734930455684662	53.9572296142578
1	praesidium	PRAETORIO	Bridlington	Humberside?	TA1867	-0.195888713002205	54.0851936340332
2	blatobulgium	BLATOBVLGIVM	Birrens	Dumfries and Galloway	NY2175	-3.23707509040833	55.063117980957
2	castra_exploratorum	CASTRA EXPLORATORVM	Netherby	Cumbria	NY3971	-2.95441055297852	55.0297164916992
2	luguvalium	LVGVVALIVM	Carlisle	Cumbria	NY3956	-2.9512197971344	54.8949279785156
2	voreda	VOREDA	Old Penrith	Cumbria	NY4938	-2.79212427139282	54.7342796325684
2	bravoniacum	BROVONACIS	Kirby Thore	Cumbria	NY6326	-2.57318043708801	54.6276626586914
2	verteris	VERTERIS	Brough Castle	Cumbria	NY7914	-2.32446932792664	54.5207290649414
2	lavatris	LAVATRIS	Bowes	Durham	NY9913	-2.01544809341431	54.5121726989746
2	cataractonium	CATARACTONE	Catterick	North Yorkshire	SE2299	-1.66120481491089	54.385871887207
2	isurium	ISVRIVM	Aldborough	North Yorkshire	SE4066	-1.38841497898102	54.0881767272949
2	eburacum	EBVRACVM	York	North Yorkshire	SE6052	-1.0854218006134	53.9604110717773
2	calcaria	CALCARIA	Tadcaster	North Yorkshire	SE4842	-1.26988983154297	53.8717803955078
2	cambodunum	CAMBODVNVM	Slack	South Yorkshire?	SE0817	-1.87895548343658	53.6492118835449
2	mamucium	MAMVCIVM	Manchester	Greater Manchester	SJ8397	-2.25611662864685	53.4692115783691
2	condate	CONDATE	Northwich	Cheshire	SJ6573	-2.52465319633484	53.2525787353516
2	deva	DEVA	Chester	Cheshire	SJ4066	-2.89803624153137	53.1874198913574
2	bovium	BOVIVM	Tilston	Cheshire?	SJ4551	-2.82063770294189	53.0531196594238
2	mediolanum	MEDIOLANVM	Whitchurch	Shropshire	SJ5441	-2.68494462966919	52.9640808105469
2	rutunium	RVTVNIVM	Harcourt Park	Shropshire?	SJ5525	-2.6678364276886	52.8203277587891
